,seqno,send.timestamp,receive.timestamp,gtp.out.timestamp,gtp.out.length,gtp.out.sn,sdap.sdu.timestamp,sdap.sdu.length,pdcp.decoded.timestamp,pdcp.decoded.length,rlc.reassembled.0.rlc.reassembled.MRbuf,rlc.reassembled.0.rlc.reassembled.timestamp,rlc.reassembled.0.rlc.reassembled.length,rlc.reassembled.0.rlc.decoded.lcid,rlc.reassembled.0.rlc.decoded.hqpid,rlc.reassembled.0.rlc.decoded.frame,rlc.reassembled.0.rlc.decoded.slot,rlc.reassembled.0.rlc.decoded.timestamp,rlc.reassembled.0.rlc.decoded.length,rlc.reassembled.0.mac.demuxed.frame,rlc.reassembled.0.mac.demuxed.slot,rlc.reassembled.0.mac.demuxed.ldpciter,rlc.reassembled.0.mac.demuxed.mcs,rlc.reassembled.0.mac.demuxed.hqpid,rlc.reassembled.0.mac.demuxed.hqround,rlc.reassembled.0.mac.demuxed.timestamp,rlc.reassembled.0.mac.demuxed.length,rlc.reassembled.0.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.1.rlc.reassembled.MRbuf,rlc.reassembled.1.rlc.reassembled.timestamp,rlc.reassembled.1.rlc.reassembled.length,rlc.reassembled.1.rlc.decoded.lcid,rlc.reassembled.1.rlc.decoded.hqpid,rlc.reassembled.1.rlc.decoded.frame,rlc.reassembled.1.rlc.decoded.slot,rlc.reassembled.1.rlc.decoded.timestamp,rlc.reassembled.1.rlc.decoded.length,rlc.reassembled.1.mac.demuxed.frame,rlc.reassembled.1.mac.demuxed.slot,rlc.reassembled.1.mac.demuxed.ldpciter,rlc.reassembled.1.mac.demuxed.mcs,rlc.reassembled.1.mac.demuxed.hqpid,rlc.reassembled.1.mac.demuxed.hqround,rlc.reassembled.1.mac.demuxed.timestamp,rlc.reassembled.1.mac.demuxed.length,rlc.reassembled.1.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.2.rlc.reassembled.MRbuf,rlc.reassembled.2.rlc.reassembled.timestamp,rlc.reassembled.2.rlc.reassembled.length,rlc.reassembled.2.rlc.decoded.lcid,rlc.reassembled.2.rlc.decoded.hqpid,rlc.reassembled.2.rlc.decoded.frame,rlc.reassembled.2.rlc.decoded.slot,rlc.reassembled.2.rlc.decoded.timestamp,rlc.reassembled.2.rlc.decoded.length,rlc.reassembled.2.mac.demuxed.frame,rlc.reassembled.2.mac.demuxed.slot,rlc.reassembled.2.mac.demuxed.ldpciter,rlc.reassembled.2.mac.demuxed.mcs,rlc.reassembled.2.mac.demuxed.hqpid,rlc.reassembled.2.mac.demuxed.hqround,rlc.reassembled.2.mac.demuxed.timestamp,rlc.reassembled.2.mac.demuxed.length,rlc.reassembled.2.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.2.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.2.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.2.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.2.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.0.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.1.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.2.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.2.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.2.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.2.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.2.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.3.rlc.reassembled.MRbuf,rlc.reassembled.3.rlc.reassembled.timestamp,rlc.reassembled.3.rlc.reassembled.length,rlc.reassembled.3.rlc.decoded.lcid,rlc.reassembled.3.rlc.decoded.hqpid,rlc.reassembled.3.rlc.decoded.frame,rlc.reassembled.3.rlc.decoded.slot,rlc.reassembled.3.rlc.decoded.timestamp,rlc.reassembled.3.rlc.decoded.length,rlc.reassembled.3.mac.demuxed.frame,rlc.reassembled.3.mac.demuxed.slot,rlc.reassembled.3.mac.demuxed.ldpciter,rlc.reassembled.3.mac.demuxed.mcs,rlc.reassembled.3.mac.demuxed.hqpid,rlc.reassembled.3.mac.demuxed.hqround,rlc.reassembled.3.mac.demuxed.timestamp,rlc.reassembled.3.mac.demuxed.length,rlc.reassembled.3.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.3.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.3.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.3.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.3.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.3.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.3.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.3.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.3.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.3.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.0.mac.demuxed.mac.decoded.2.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.2.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.2.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.2.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.2.hqround,rlc.reassembled.1.mac.demuxed.mac.decoded.2.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.2.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.2.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.2.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.2.hqround
15,14,1722015960.7521796,1722015960.7665782,1722015960.766487,128,15,1722015960.766482,128,1722015960.766474,131,1931185666,1722015960.766473,95,4,12,32,7,1722015960.766472,100,32,7,4,12,12,0,1722015960.76647,110,1722015960.76637,32,7,12,0,1931185666,1722015960.761454,36,4,12,32,7,1722015960.766472,100,32,7,4,12,12,0,1722015960.76647,110,1722015960.76637,32,7,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,1722015960.7723248,1722015960.791543,1722015960.791454,128,16,1722015960.791449,128,1722015960.79144,131,1931185666,1722015960.79144,95,4,14,34,17,1722015960.791439,100,34,17,4,12,14,0,1722015960.791438,110,1722015960.791328,34,17,14,0,1931185666,1722015960.786421,36,4,14,34,17,1722015960.791439,100,34,17,4,12,14,0,1722015960.791438,110,1722015960.791328,34,17,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16,1722015960.7924733,1722015960.811471,1722015960.811418,128,17,1722015960.811413,128,1722015960.811406,131,1931185666,1722015960.811405,95,4,0,36,17,1722015960.811405,100,36,17,4,12,0,0,1722015960.811404,110,1722015960.811305,36,17,0,0,1931185666,1722015960.806388,36,4,0,36,17,1722015960.811405,100,36,17,4,12,0,0,1722015960.811404,110,1722015960.811305,36,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,1722015960.812614,1722015960.8314993,1722015960.831458,128,18,1722015960.831455,128,1722015960.831449,131,1931185666,1722015960.831449,95,4,2,38,17,1722015960.831449,100,38,17,4,12,2,0,1722015960.831448,110,1722015960.831347,38,17,2,0,1931185666,1722015960.826438,36,4,2,38,17,1722015960.831449,100,38,17,4,12,2,0,1722015960.831448,110,1722015960.831347,38,17,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18,1722015960.8316956,1722015960.8464806,1722015960.846445,128,19,1722015960.846442,128,1722015960.846437,131,1931185666,1722015960.846437,95,4,4,40,7,1722015960.846437,100,40,7,4,12,4,0,1722015960.846436,110,1722015960.846359,40,7,4,0,1931185666,1722015960.841417,36,4,4,40,7,1722015960.846437,100,40,7,4,12,4,0,1722015960.846436,110,1722015960.846359,40,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19,1722015960.8518343,1722015960.866508,1722015960.866442,128,20,1722015960.866438,128,1722015960.866431,131,1931185666,1722015960.866431,95,4,6,42,7,1722015960.866431,100,42,7,4,13,6,0,1722015960.86643,120,1722015960.866333,42,7,6,0,1931185666,1722015960.861417,36,4,6,42,7,1722015960.866431,100,42,7,4,13,6,0,1722015960.86643,120,1722015960.866333,42,7,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,1722015960.8719852,1722015960.8864896,1722015960.886441,128,21,1722015960.886438,128,1722015960.886433,131,1931185666,1722015960.886431,119,4,7,44,7,1722015960.886431,124,44,7,5,13,7,0,1722015960.886429,160,1722015960.886334,44,7,7,0,1931185690,1722015960.881405,12,4,8,43,17,1722015960.881404,15,43,17,3,9,8,0,1722015960.881397,60,1722015960.881347,43,17,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21,1722015960.8921213,1722015960.9064968,1722015960.906458,128,22,1722015960.906455,128,1722015960.90645,131,1931185666,1722015960.90645,95,4,10,46,7,1722015960.906449,100,46,7,5,13,10,0,1722015960.906448,120,1722015960.906372,46,7,10,0,1931185666,1722015960.901361,36,4,10,46,7,1722015960.906449,100,46,7,5,13,10,0,1722015960.906448,120,1722015960.906372,46,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,22,1722015960.91226,1722015960.9265137,1722015960.926475,128,23,1722015960.926471,128,1722015960.926466,131,1931185666,1722015960.926465,95,4,12,48,7,1722015960.926465,100,48,7,4,13,12,0,1722015960.926464,120,1722015960.926366,48,7,12,0,1931185666,1722015960.921415,36,4,12,48,7,1722015960.926465,100,48,7,4,13,12,0,1722015960.926464,120,1722015960.926366,48,7,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,23,1722015960.9324007,1722015960.9514585,1722015960.951418,128,24,1722015960.951416,128,1722015960.95141,131,1931185666,1722015960.95141,95,4,14,50,17,1722015960.951409,100,50,17,4,13,14,0,1722015960.951408,120,1722015960.95132,50,17,14,0,1931185666,1722015960.946387,36,4,14,50,17,1722015960.951409,100,50,17,4,13,14,0,1722015960.951408,120,1722015960.95132,50,17,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,24,1722015960.9525425,1722015960.971414,1722015960.971372,128,25,1722015960.971369,128,1722015960.971363,131,1931185666,1722015960.971363,95,4,0,52,17,1722015960.971363,100,52,17,3,14,0,0,1722015960.971362,120,1722015960.9713,52,17,0,0,1931185666,1722015960.966394,36,4,0,52,17,1722015960.971363,100,52,17,3,14,0,0,1722015960.971362,120,1722015960.9713,52,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,25,1722015960.9726813,1722015960.9914844,1722015960.991431,128,26,1722015960.991429,128,1722015960.991423,131,1931185666,1722015960.991423,95,4,2,54,17,1722015960.991422,100,54,17,4,14,2,0,1722015960.991422,120,1722015960.991359,54,17,2,0,1931185666,1722015960.986352,36,4,2,54,17,1722015960.991422,100,54,17,4,14,2,0,1722015960.991422,120,1722015960.991359,54,17,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,26,1722015960.991815,1722015961.006498,1722015961.006457,128,27,1722015961.006454,128,1722015961.006449,131,1931185666,1722015961.006449,95,4,4,56,7,1722015961.006449,100,56,7,4,14,4,0,1722015961.006448,120,1722015961.006371,56,7,4,0,1931185666,1722015961.00143,36,4,4,56,7,1722015961.006449,100,56,7,4,14,4,0,1722015961.006448,120,1722015961.006371,56,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,27,1722015961.0119467,1722015961.026482,1722015961.026441,128,28,1722015961.026438,128,1722015961.026432,131,1931185666,1722015961.026432,95,4,6,58,7,1722015961.026431,100,58,7,5,14,6,0,1722015961.02643,120,1722015961.026335,58,7,6,0,1931185666,1722015961.021402,36,4,6,58,7,1722015961.026431,100,58,7,5,14,6,0,1722015961.02643,120,1722015961.026335,58,7,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,28,1722015961.0320783,1722015961.0464754,1722015961.046435,128,29,1722015961.046431,128,1722015961.046424,131,1931185666,1722015961.046424,95,4,7,60,7,1722015961.046424,100,60,7,5,14,7,0,1722015961.046423,120,1722015961.04634,60,7,7,0,1931185666,1722015961.041389,36,4,7,60,7,1722015961.046424,100,60,7,5,14,7,0,1722015961.046423,120,1722015961.04634,60,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,29,1722015961.0522168,1722015961.0664597,1722015961.066394,128,30,1722015961.06639,128,1722015961.066382,131,1931185666,1722015961.066382,95,4,10,62,7,1722015961.066382,100,62,7,4,15,10,0,1722015961.066381,110,1722015961.066308,62,7,10,0,1931185666,1722015961.061396,36,4,10,62,7,1722015961.066382,100,62,7,4,15,10,0,1722015961.066381,110,1722015961.066308,62,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
